Population Size,Crossover Prob,Mutation Prob,Avg Fitness,Avg Selected Features
20,0.6,0.0,0.7814833193292495,12.666666666666666
20,0.6,0.01,0.7845962871108222,11.333333333333334
20,0.6,0.1,0.7870435380188286,10.333333333333334
20,0.9,0.01,0.790541741204532,8.0
20,0.1,0.01,0.7818554925371785,12.333333333333334
200,0.6,0.0,0.794392859724255,6.666666666666667
200,0.6,0.01,0.793794083500479,7.333333333333333
200,0.6,0.1,0.7878603182992717,10.0
200,0.9,0.01,0.7949930092517302,6.0
200,0.1,0.01,0.7897160186389837,9.0
